date,polarity
2014-05-14,80.0
2014-05-18,11.818181818181818
2014-05-19,0.0
2014-05-22,80.0
2014-05-23,28.86243386243386
2014-05-24,127.51515151515152
2014-05-25,-15.0
2014-05-29,50.00000000000001
2014-05-31,0.0
2014-06-04,25.0
2014-06-09,17.5
2014-06-10,50.0
2014-06-11,-33.33333333333333
2014-06-12,0.0
2014-06-13,4.999999999999999
2014-06-15,80.0
2014-06-17,10.151515151515156
2014-06-19,50.0
2014-07-01,50.0
2014-07-10,4.3181818181818175
2014-07-14,126.16071428571428
2014-07-19,0.0
2014-07-23,22.499999999999996
2014-07-26,0.0
2014-08-03,193.94444444444446
2014-08-05,-18.499999999999996
2014-08-12,13.636363636363635
2014-08-15,0.0
2014-08-19,-9.523809523809524
2014-08-23,46.06926406926407
2014-08-25,0.0
2014-08-26,0.0
2014-09-02,20.0
2014-09-07,20.0
2014-09-08,125.0
2014-09-09,0.0
2014-09-10,28.57142857142857
2014-09-12,0.0
2014-09-17,15.0
2014-09-20,83.63636363636364
2014-09-21,0.0
2014-09-23,0.0
2014-09-25,10.0
2014-09-29,0.0
2014-10-02,41.875
2014-10-04,36.81818181818181
2014-10-10,-16.666666666666664
2014-10-11,0.0
2014-10-14,-10.0
2014-10-16,0.0
2014-10-17,0.0
2014-10-18,0.0
2014-10-26,0.0
2014-10-28,3.5
2014-10-29,-50.0
2014-11-01,0.0
2014-11-04,0.0
2014-11-07,0.0
2014-11-11,69.52380952380952
2014-11-12,28.57142857142857
2014-11-18,25.0
2014-11-19,-2.5000000000000044
2014-11-21,0.0
2014-11-22,-34.44444444444444
2014-11-23,-1.0833333333333321
2014-11-25,40.0
2014-12-03,44.54545454545455
2014-12-05,0.0
2014-12-08,180.0
2014-12-19,22.857142857142858
2014-12-21,20.0
2014-12-26,26.666666666666668
2014-12-27,0.0
2014-12-30,0.0
2014-12-31,0.0
2015-01-01,10.0
2015-01-05,0.0
2015-01-06,13.636363636363635
2015-01-07,0.0
2015-01-08,5.0
2015-01-10,253.8243145743146
2015-01-11,21.666666666666668
2015-01-12,0.0
2015-01-15,5.0
2015-01-16,8.068181818181813
2015-01-17,0.0
