date,tweet
2020-10-13 10:54:48,Always safe Katie! https://t.co/K5ALgSYUxJ
2020-10-13 10:53:25,"RT @dailybriefing: With just weeks to go until election day, Judge Amy Coney Barrett made her case for serving on our nation’s highest cour…"
2020-10-13 10:52:46,RT @DanaPerino: What a pleasure to interview Jon Ponder!
2020-10-13 10:51:54,"Matt is great. Strong on Military, Vets and our great 2nd Amendment. Has my Complete and Total Endorsement!!! https://t.co/brrR1zOXay"
2020-10-13 10:47:55,RT @stillgray: Dems keep claiming this doesn't happen.
2020-10-13 10:47:38,RT @RyannMcEnany: My POTUS ❤️ @realDonaldTrump https://t.co/YQOMRt5bbO
2020-10-13 10:46:50,Wow. Our future V.P. So cool! https://t.co/l7lp69ZsYl
2020-10-13 10:44:50,"RT @TrumpWarRoom: “The white race is a superior race, and the Negro race is an inferior race,” said Democrat Senator James Eastland.

Joe B…"
2020-10-13 10:42:03,"RT @thesamsorbo: Sen Ron Johnson just released his report on Biden’s corruption with China, Ukraine, and Russia. Fox doesn’t report about i…"
2020-10-13 10:41:02,RT @TheBabylonBee: California Mandates All Food Must Be Consumed Through IV To Ensure Masks Are Never Removed https://t.co/mwFBnW5gzY
2020-10-13 10:40:12,RT @OzzmanOsgood: This may be a severe shock to Democrats if Express's poll is a harbinger of how the election will really go. We know left…
2020-10-13 10:37:27,"RT @tatobin2: This is the most devastatingly powerful ad against a political opponent that I've ever seen, and it's a TRUE MUST WATCH.  Rep…"
2020-10-13 10:35:12,RT @ACTBrigitte: VP @Mike_Pence had a GREAT night! @realDonaldTrump https://t.co/GYX9kkSsWv
2020-10-13 10:33:45,RT @ACTBrigitte: A red wave is coming on November 3rd!
2020-10-13 10:32:33,RT @ACTBrigitte: Who is worse? Chris Wallace or Donna Brazile?
2020-10-13 10:31:28,No thanks! https://t.co/wEyrvoKWr1
2020-10-13 10:30:43,RT @SenatorDole: The Commission on Presidential Debates is supposedly bipartisan w/ an equal number of Rs and Ds. I know all of the Republi…
2020-10-13 10:30:22,"RT @ACTBrigitte: If a contractor took 47 years to build your construction project and it was still in need of repair, would you give them f…"
2020-10-13 10:29:57,"Scam! He worked for Sleepy Joe, but never admitted this rather major fact! https://t.co/aLePpjDi0Y"
2020-10-13 10:27:39,Thank you!!! https://t.co/1H2Fyp8xs8
2020-10-13 10:26:48,RT @ACTBrigitte: POLL: Which President (out of the four options) is the BEST?
2020-10-13 10:26:34,"RT @ACTBrigitte: Joe Biden said voters “don’t deserve” to know if he’ll pack the courts. 

Joe Biden doesn’t deserve to be President!"
2020-10-13 10:26:15,"RT @ACTBrigitte: When President Trump was elected, America was in big trouble, our economy was stagnant and our military was depleted.

If…"
2020-10-13 10:25:38,Far too many. His own Chief of Staff said they had “no idea what they were doing”. https://t.co/hdRbR930fR
2020-10-13 10:23:50,"RT @ACTBrigitte: The only way to prove the polls are fake, is to turn out and vote on Election Day like never before!!"
2020-10-13 10:23:33,RT @realDonaldTrump: https://t.co/HrEVCQtya1
2020-10-13 10:23:19,"RT @ACTBrigitte: Are you worried about voter fraud/integrity in the upcoming election?

What do you think is the biggest threat to it?"
2020-10-13 10:22:27,"RT @TheLeoTerrell: Another lie by @SenKamalaHarris .  Thank God, I am a lawyer.  Constitution allows the nomination and approval of #AmyCom…"
2020-10-13 10:20:13,"RT @TheLeoTerrell: Please listen to my Podcast: ""Your Vote is At Risk""  @ApplePodcasts @iTunes  https://t.co/ZfVvylWuhF"
2020-10-13 10:19:54,RT @TheLeoTerrell: BIDEN BLUFFS: Members of black Delaware church don’t recall Biden being ‘raised’ there https://t.co/BR0jn4wYaW
2020-10-13 10:19:24,RT @CaesarDarias: Interesting comments and perspective from Leo Terrell. Almost 100 percent of everyone I know in New Jersey is equally con…
2020-10-13 10:18:50,"RT @TheLeoTerrell: Sir, I am Black.  I am a Proud American. I love America. I am voting for @realDonaldTrump . @FoxNews  @seanhannity"
2020-10-13 10:18:42,RT @TheLeoTerrell: Looks like @BlackLivesMatter and #Antifa are #Lakers Fans. Where is the police Democratic Mayor? @MayorOfLA
2020-10-13 10:18:16,RT @TheLeoTerrell: I kept my word @realDonaldTrump WATCH: Longtime Democrat Leo Terrell Keeps His Word &amp; Officially Casts His Vote For Pres…
