date,tweet
2020-09-29 04:51:31,Praying for Armenia     Praying for Breonna Taylor’s family  Praying for a world ravaged by the pandemic   Praying for God’s love to cover us all  Cover our friends and family  soften the hearts of the world    Thank you God for our lives.  In Jesus name Amen
2020-09-29 02:34:48,Dinner for 2 🕊 https://t.co/0dilfacAqw
2020-09-28 22:20:51,Our queen speaking on the Matrix https://t.co/XdLoCD3tHT
2020-09-26 13:51:48,BELIEVE WHAT I SAY (snippet) https://t.co/U7Y2KQJ5UC
2020-09-26 13:22:07,"WE ARE HERE TO COMPLETE THE REVOLUTION 

WE ARE ARE BUILDING THE FUTURE https://t.co/Gyh7ofHUBz"
2020-09-26 13:16:26,Haiti is where our people started the first revolution that freed us from slavery https://t.co/NDM2uxoPZ4
2020-09-25 11:43:38,https://t.co/GXmEk1zim0
2020-09-25 11:42:44,https://t.co/B0cMnRgA4j
2020-09-25 11:42:36,https://t.co/cIyO3crhAS
2020-09-25 11:42:22,https://t.co/KugqWGEn3I
2020-09-25 11:42:15,https://t.co/ZPEnDrl9qZ
2020-09-25 11:41:54,https://t.co/e9XdQaRzkh
2020-09-25 11:41:43,https://t.co/8btdHkiYK6
2020-09-25 11:41:36,https://t.co/twgdstscXL
2020-09-25 11:41:12,https://t.co/7QTYYJEpNG
2020-09-25 11:40:56,https://t.co/FjRrWiFboV
2020-09-25 11:40:49,https://t.co/hlrN1YpxL5
2020-09-25 11:40:27,https://t.co/SY41JQqiaH
2020-09-25 11:40:17,https://t.co/gUg7ZxJBoD
2020-09-25 11:40:08,https://t.co/33zJFc3uT6
2020-09-25 11:39:14,https://t.co/E2QAdcRK0h
2020-09-25 11:39:07,https://t.co/3AAO3AHFBl
2020-09-25 11:38:58,https://t.co/1qQI0GeraJ
2020-09-25 11:38:40,https://t.co/4BZGF2IgL9
2020-09-25 11:38:32,https://t.co/Aq5McxhNXk
2020-09-25 11:38:19,https://t.co/AwOpO1Vj40
2020-09-25 11:38:11,https://t.co/oPVd081Ds4
2020-09-25 11:38:03,https://t.co/IbdsBlgVHy
2020-09-25 11:37:52,https://t.co/RpsWASGbsP
2020-09-25 11:37:44,https://t.co/tT1awJPqFT
2020-09-25 11:37:19,https://t.co/TU0YTbVOWP
2020-09-25 11:37:03,https://t.co/14b6R4nrCp
2020-09-25 11:36:48,https://t.co/3qEWmqgN2x
2020-09-25 11:36:27,https://t.co/2megRNkWi2
2020-09-25 11:36:10,This is who we really are https://t.co/wu5rLyGZcX
2020-09-25 10:10:09,https://t.co/lKRFLYxDMy
2020-09-25 10:09:16,Ernesto Neto https://t.co/dG7dGMpi81
2020-09-25 10:08:59,You guys like stuff ? 🦔 https://t.co/XygUVHnRHT
2020-09-25 10:08:02,Bowl https://t.co/eetqsPqX4T
2020-09-25 10:07:45,2020 hoodie 👀 https://t.co/h1jX2Pxrs2
2020-09-25 10:07:13,https://t.co/glcmErV7JB
2020-09-25 10:06:58,https://t.co/RRZPweqdVw
2020-09-25 10:06:25,https://t.co/V4xx3kLwjY
2020-09-25 10:06:13,Pockets https://t.co/jpEFK1vK9L
2020-09-25 10:05:55,Color https://t.co/pJRPyrQP8H
2020-09-25 10:05:41,Food https://t.co/T6XfWfLzg4
2020-09-25 10:05:15,Concept https://t.co/FZlTYuKQ1C
2020-09-25 10:04:49,🦈 https://t.co/vUqaQIxLpA
2020-09-25 10:03:54,https://t.co/CfPMJZe0kl
2020-09-25 10:03:37,https://t.co/BuhR8ioGvC
2020-09-25 10:03:24,https://t.co/J7e45BiFJV
2020-09-25 10:03:14,https://t.co/Qzo4Mmovze
2020-09-25 10:03:06,https://t.co/OTa0T5zOmQ
2020-09-25 10:02:58,Bianca Saunders https://t.co/UvvaPyIMuT
2020-09-25 10:02:00,https://t.co/Ivs7uBVLL6
2020-09-25 10:01:51,David Koma      I liked this collection a lot https://t.co/G4VwO4gYLq
2020-09-25 10:00:08,⛷ https://t.co/6rQJDcf3jN
2020-09-25 09:58:02,🦔 https://t.co/HWePVfutHh
2020-09-25 09:57:17,🦡 https://t.co/PZFoXfd6m3
2020-09-25 09:55:47,Noguchi https://t.co/cDtSF8I46a
2020-09-25 02:08:14,Joel Katz and Ameer Sudan https://t.co/V6FB7mR6bR
2020-09-24 23:15:25,My brothers M1 and Dave Chappelle called me to support https://t.co/1TVDxN4b1N
2020-09-24 19:37:09,JAMES LINDSAY IS THE MOST IMPORTANT AND POWERFUL ENTREPRENEUR IN THE WORLD ... HE DON’T GOT TO BEG TO BE ON BOARDS SEATS   HE MADE HIS OWN   JAMES IS TRULY FREE https://t.co/7G3p8kIKXK
2020-09-24 16:33:34,My first pillar when I’m on the board of adidas will be an adidas Nike collaboration to support community growth
2020-09-24 05:42:27,I WATCH BLADERUNNER  ON REPEAT https://t.co/qhXFiVweCs
2020-09-24 05:40:55,DENIS VILLENEUVE https://t.co/XFdbnkVV8g
2020-09-24 05:39:18,WE WILL BE RECOGNIZED
2020-09-24 05:32:32,⛷ https://t.co/ilz6KoqU9D
2020-09-24 04:58:56,RT @OsheaJacksonJr: Next to Kobe and Shaq. This might be my favorite duo
2020-09-24 04:12:30,LAQUAN SMITH AND HYPE WILLIAMS https://t.co/bUw9wBsAdM
2020-09-24 04:11:50,LAQUAN SMITH AND HYPE WILLIAMS https://t.co/3VA6ymxdF6
2020-09-24 04:11:11,LAQUAN SMITH AND HYPE WILLIAMS https://t.co/wEe0DwBgub
2020-09-24 04:09:13,Laquan Smith and Hype Williams https://t.co/GkI0S0TfPO
2020-09-24 02:54:52,Sci Fi https://t.co/NLsUGQWYB1
2020-09-23 21:39:51,https://t.co/lRqbKSMdwd
2020-09-23 20:19:53,Now let’s have Universal match me https://t.co/ui7D8kyPQR
2020-09-23 19:04:15,I’m giving all Good music artist back the 50% share I have of their masters
2020-09-22 17:23:11,YZY Farm to table ⛷ it’s a good start https://t.co/JKHmY3eL9v
2020-09-22 16:31:25,WE MUST FORM A UNION     WE MUST UNIFY https://t.co/drZWqJCwse
2020-09-22 13:21:17,https://t.co/LlxJwI2Dye
2020-09-22 13:20:39,Neil Young basically has his own Spotify https://t.co/0JrYQnNGXS
2020-09-22 12:38:54,My mama was a’ English teacher     I know how to use correct English    But Sometimes I just don’t feel like it aaaand I ain’t got to ⛷
2020-09-22 12:37:06,I believe Master P and Uncle Luke we’re fully independent     They pressed they own vinyl
2020-09-22 12:35:38,Been trying to connect with Master P  and Baby I’ve always felt they understood how to be independent
2020-09-22 12:33:11,WINNING IS THE ONLY OPTION
2020-09-22 04:55:49,Getting our simplified DONDA gardens together      No squash 🤷🏾‍♂️ aaaaand definitely no broccoli 🤣 https://t.co/L82gJLpRWV
2020-09-22 02:48:20,🕊 https://t.co/9A1Lwu1Uec
2020-09-22 00:26:15,⛷ https://t.co/jEx5jjuXgM
2020-09-21 22:23:45,https://t.co/oSO2zAoid7
2020-09-21 21:57:52,YZY DESIGN MEETING WITH MARK MINER AND RANDAL YARBOROUGH https://t.co/ayCniv83dr
2020-09-21 18:53:43,THE LAST POST SHOWING THE BOLLORE BOARD WAS MISSING PHOTOS ... HERE GOES EVERYONE ⛷ https://t.co/iETBuENaE7
2020-09-21 18:22:28,AND MY SUPER DUPER POOPER SCOOPER STAR SHIP TROOPER BEST FRIENDS AT BOLLORE 😊 https://t.co/0xces8X5TU
2020-09-21 18:19:13,MY NEW FRIENDS AT VIVENDI 😊 https://t.co/wxvlDzgqTS
2020-09-21 18:18:40,THESE ARE ALL GOING TO BE MY BEST FRIENDS SOME DAY 😊 UNIVERSAL https://t.co/R3trGtSB5L
2020-09-21 06:56:46,Ma$e is right about that line ... I always felt funny about that line ... Ma$e is one of my favorite rappers and I based a lot of my flows off of him ...  I’m the king of “ooh can I get away with this bars” so I reap what I sow when the next generation does the same to me.
2020-09-20 18:06:28,There are 5 main pillars in a professional musicians business                        Recording    Publishing    Touring    Merchandise    &amp;   Name and likeness
2020-09-20 18:00:00,"This is a call for all artist to unify ... I will get my masters , I got the most powerful lawyer in music and I can afford them but every artist must be freed and treated fairly"
2020-09-20 17:42:03,"7. PORTALS

Are not just for royalties. They are for your entire business.  Every audio file, every asset, every deal stored WITH the money. Money and Music must stay together. When your term ends, download it all. Leave."
2020-09-20 17:40:34,"It sounds basic and logical but t does NOT exist. They focus on top earners and ZERO look at the 440 stores…. Only the top few. Artists are global. That’s why their contract territory says GLOBAL

Royalty department in EVERY label. No more separating finance teams from the music"
2020-09-20 17:39:47,"6. ROYALTIES

Again back to dependents. You need a business manager to read how you did? So you pay to see your money!!! NO MORE.

Royalty portals need to show (and do not now)

Every song you delivered

Every store you are in

How many streams per song

Income per song"
2020-09-20 17:38:36,"5. ADVANCES ARE JUST LOANS!!

On Artists re-signing these stop. Advances are Loans with 75% interest rates (or worse). NO other business in the world takes a look at the business, buys shares, starts to profit when it profits. Record Companies have to buy into you, not loan you."
2020-09-20 17:36:57,UMG now has a 2.2 billion share holding stake in Spotify. This is the artists. The system as to how we get share balances on our royalty statement needs to be created and a system on when Artists can cash in.
2020-09-20 17:35:06,NO MORE blanket licenses. It should be clear from day one… what shares you get NOW and when you leave. If your song helps a deal over the line you invested in that store / app same as they did.
2020-09-20 17:34:35,"5. EQUITY &amp; BLANKET LICENSES ARE THE MAJORITY OF FUTURE NEW INCOME.

If you’re with a major you have invested your ‘songs’ as shares in their power to get equity and deals. Almost ALL new deals now are based on ALL songs going to a store or app. The equity is the Artists"
2020-09-20 17:33:09,"4. LAWYERS 

the first thing that changes about Record Deals is actually lawyers.

We need Plain English contracts. A Lawyers role is to IMPROVE deals…. not charge for contracts we cannot understand or track. Re-write deals to be understandable from FIRST READ."
2020-09-20 17:31:17,"3. DEPENDANTS

Artists must be dependent on no one but themselves to manage their catalog. You should need NO ONE else to understand the business you’re in."
